Group Name,Module,Lesson,YouTube Link
Derivatives,Module 3,Investor and issuer use of derivatives,https://youtu.be/7FS1BuEYkO8
Derivatives,Module 4,Arbitrage and replication,https://youtu.be/LSZimjDcjxE
Derivatives,Module 4,Cost of carry,https://youtu.be/72q21fWcMDc
Derivatives,Module 5,Pricing and valuation of forward contracts,https://youtu.be/I4kH5g_rBDY
Derivatives,Module 5,Pricing and valuation of interest rate forward contracts,https://youtu.be/mR7VmdQgy9g
Derivatives,Module 6,Pricing futures contracts and MtM valuation,https://youtu.be/PQjXBYfDs3c
Derivatives,Module 6,Interest rate futures,https://youtu.be/v94kaVPgQYE
Derivatives,Module 6,Forward and futures price differences and central clearing,https://youtu.be/hKwLtUGHk98
Derivatives,Module 7,Swaps versus forwards,https://youtu.be/r4JSosP2PGY
Derivatives,Module 7,Swap value and prices,https://youtu.be/O9jlGVnU354
Derivatives,Module 8,Option exercise value and time value,https://youtu.be/fSWehq6-UOk
Derivatives,Module 8,Factors affecting option value,https://youtu.be/0SEHJs6KKpY
Derivatives,Module 9,Put-call parity,https://youtu.be/Lb-lmjZ3xkA
Derivatives,Module 9,Put-call foward parity and firm value,https://youtu.be/FyhBBAsF6Nk
Derivatives,Module 10,Using the binomial model to price options,https://youtu.be/OMODAP8XsI4
Alternative Investments,Module 1,Alternative investments features and methods,https://youtu.be/yi-dr9pR7us
Alternative Investments,Module 1,Alternative investment structures,https://youtu.be/dMxiZKV8h4Y
Alternative Investments,Module 2,Alternative investment performance,https://youtu.be/eVZCXZzhLfY
Alternative Investments,Module 2,Alternative investment returns,https://youtu.be/m5LYbbUaMG4
Alternative Investments,Module 3,Private equity,https://youtu.be/h1V4lkEyqQs
Alternative Investments,Module 3,Private equity exit strategies,https://youtu.be/O9OsKk5Atbs
Alternative Investments,Module 3,Private debt,https://youtu.be/qR5W0WyYzMg
Alternative Investments,Module 4,Real estate investments,https://youtu.be/yAZ1Gf17TsI
Alternative Investments,Module 4,Infrastructure investments,https://youtu.be/_xgUEnuKw0o
Alternative Investments,Module 5,Features of natural resources investing,https://youtu.be/25Vop6EowFI
Alternative Investments,Module 5,Commodity investment forms,https://youtu.be/KKgELWb8oeg
Alternative Investments,Module 5,Natural resource investment risk and return,https://youtu.be/eBmjZlIndmg
Alternative Investments,Module 6,Hedge fund features,https://youtu.be/CZm_xh81ygo
Alternative Investments,Module 6,Hedge fund strategies,https://youtu.be/SRzJYvLu0FY
Alternative Investments,Module 6,Hedge fund investment forms,https://youtu.be/9DMQejpYy34
Alternative Investments,Module 6,Hedge fund investment risk and return,https://youtu.be/uUzejOEPxUg
Alternative Investments,Module 7,Distributed ledger technology,https://youtu.be/ASnIZpngvos
Alternative Investments,Module 7,Features of digital asset investing,https://youtu.be/_OdboK3KnbA
Alternative Investments,Module 7,"Digital asset investment forms, risks and rewards",https://youtu.be/WFqt3eCohao
Ethical and Professional Standards,Module 1,Ethics and Trust in the Investment Profession,https://youtu.be/0x081HGowmo
Ethical and Professional Standards,Module 2,Code of Ethics and Standards of Professional Conduct,https://youtu.be/zGRPVrEh1Js
Ethical and Professional Standards,Module 3,Standard I(A): Professionalism � Knowledge of the law,https://youtu.be/syeNuv23LH0
Ethical and Professional Standards,Module 3,Standard I(B): Professionalism � Independence and Objectivity,https://youtu.be/qay2LwSAxM8
Ethical and Professional Standards,Module 3,Standard I(C): Professionalism � Misrepresentation,https://youtu.be/IeZIYXP47Xs
Ethical and Professional Standards,Module 3,Standard I(D): Professionalism � Misconduct,https://youtu.be/ZMcJmBpGq34
Ethical and Professional Standards,Module 3,Standard I(E): Professionalism � Competence,https://youtu.be/v5URX9c2hOQ
Ethical and Professional Standards,Module 3,Standard II(A): Integrity of Capital Markets � Material Nonpublic Information,https://youtu.be/Yphbhu9h1Qs
Ethical and Professional Standards,Module 3,Standard II(B): Integrity of Capital Markets � Market Manipulation,https://youtu.be/IQCNPmjaWvg
Ethical and Professional Standards,Module 3,"Standard III(A): Duties to Clients � Loyalty, Prudence, and Care",https://youtu.be/LN2kP3q6h1A
Ethical and Professional Standards,Module 3,Standard III(B): Duties to Clients � Fair Dealing,https://youtu.be/jKyKYmFjnuQ
Ethical and Professional Standards,Module 3,Standard III(C): Duties to Clients � Suitability,https://youtu.be/JvpNOOErqbc
Ethical and Professional Standards,Module 3,Standard III(D): Duties to Clients � Performance Presentation,https://youtu.be/Icb4lofpUvw
Ethical and Professional Standards,Module 3,Standard III(E): Duties to Clients � Preservation of Confidentiality,https://youtu.be/udp_g8LlsVo
Ethical and Professional Standards,Module 3,Standard IV(A): Duties to Employers � Loyalty,https://youtu.be/l_pW893og3Y
Ethical and Professional Standards,Module 3,Standard IV(B): Duties to Employers � Additional Compensation Arrangements,https://youtu.be/fXJ2zajasHA
Ethical and Professional Standards,Module 3,Standard IV(C): Duties to Employers � Responsibilities of Supervisors,https://youtu.be/9H72qI7ZzQo
Ethical and Professional Standards,Module 3,Standard V(A): Diligence and Reasonable Basis,https://youtu.be/3Y2FkRmcFBQ
Ethical and Professional Standards,Module 3,Standard V(B): Communication with Clients and Prospective Clients,https://youtu.be/adbMP6uZeFU
Ethical and Professional Standards,Module 3,Standard V(C): Record Retention,https://youtu.be/Vgv9C6lLG1k
Ethical and Professional Standards,Module 3,Standard VI(A): Conflicts of Interest � Avoid or Disclose Conflicts,https://youtu.be/QtVXQI017ZQ
Ethical and Professional Standards,Module 3,Standard VI(B): Conflicts of Interest � Priority of Transactions,https://youtu.be/2c0AHvbF2ug
Ethical and Professional Standards,Module 3,Standard VI(C): Conflicts of Interest � Referral Fees,https://youtu.be/AqCWg8ZrjE4
Ethical and Professional Standards,Module 3,Standard VII(A): Conduct as Participants in CFA Institute Programs,https://youtu.be/4EdBZLoSdM4
Ethical and Professional Standards,Module 3,Standard VII(B): Reference to CFA Institute �,https://youtu.be/Rgs4DwmLX6c
Ethical and Professional Standards,Module 4,Global Investment Performance Standards (GIPS) basics,https://youtu.be/k6A8b73ZtU0
Ethical and Professional Standards,Module 5,Ethics application: professionalism,https://youtu.be/ErY-D8ccT2U
Ethical and Professional Standards,Module 5,Ethics application: integrity of capital markets,https://youtu.be/YVRRlcBttQw
Ethical and Professional Standards,Module 5,Ethics application: duties to clients,https://youtu.be/ojKnFIHnsR8
Ethical and Professional Standards,Module 5,Ethics application: duties to employers,https://youtu.be/HbTI8m5jYjk
Ethical and Professional Standards,Module 5,"Ethics application: investment analysis, recommendations, and actions",https://youtu.be/ULgU7DaSFDs
Ethical and Professional Standards,Module 5,Ethics application: conflicts of interest,https://youtu.be/lgJgiaHLMsU
Ethical and Professional Standards,Module 5,Ethics application: responsibilities as a CFA Institute member or CFA candidate,https://youtu.be/SfkSjeAQWjg
