Group Name,Module,Lesson,YouTube Link,Duration,Page
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,Commodities Futures Markets: Participants,,,24
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,Commodity Spot and Futures Pricing,,,28
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,Theories of Futures Returns,,,33
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,Components of Futures Returns,,,39
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,"Contango, Backwardation, and the Roll Return",,,44
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,Commodity Swaps,,,47
Alternative Investments,Module 1: Introduction to Commodities and Commodity Derivatives,Commodity Indexes,,,51
Alternative Investments,Module 2: Overview of Types of Real Estate Investment,Real Estate Investment Features,,,72
Alternative Investments,Module 2: Overview of Types of Real Estate Investment,Economic Value Drivers and Portfolio Characteristics of Real Estate Investments,,,86
Alternative Investments,Module 2: Overview of Types of Real Estate Investment,Commercial Property Investment Characteristics,,,91
Alternative Investments,Module 2: Overview of Types of Real Estate Investment,Real Estate Due Diligence and Valuation Approaches,,,97
Alternative Investments,Module 2: Overview of Types of Real Estate Investment,Real Estate Indexes,,,108
Alternative Investments,Module 3: Investments in Real Estate through Publicly Traded Securities,Types of Publicly Traded Real Estate Securities,,,130
Alternative Investments,Module 3: Investments in Real Estate through Publicly Traded Securities,Valuation: Net Asset Value Approach,,,133
Alternative Investments,Module 3: Investments in Real Estate through Publicly Traded Securities,Valuation: Relative Value (Price Multiple) Approach,,,139
Alternative Investments,Module 3: Investments in Real Estate through Publicly Traded Securities,REIT Mini Case Study: Example of Disclosures and Valuation Analysis,,,143
Alternative Investments,Module 3: Investments in Real Estate through Publicly Traded Securities,Private vs. Public: A Comparison,,,151
Alternative Investments,Module 4: Hedge Fund Strategies,Introduction and Classification of Hedge Fund Strategies,,,173
Alternative Investments,Module 4: Hedge Fund Strategies,Equity Strategies: Long/Short Equity,,,179
Alternative Investments,Module 4: Hedge Fund Strategies,Equity Strategies: Dedicated Short Selling and Short-Biased,,,183
Alternative Investments,Module 4: Hedge Fund Strategies,Equity Strategies: Equity Market Neutral,,,187
Alternative Investments,Module 4: Hedge Fund Strategies,Event-Driven Strategies: Merger Arbitrage,,,191
Alternative Investments,Module 4: Hedge Fund Strategies,Event-Driven Strategies: Distressed Securities,,,195
Alternative Investments,Module 4: Hedge Fund Strategies,Relative Value Strategies: Fixed-Income Arbitrage,,,199
Alternative Investments,Module 4: Hedge Fund Strategies,Relative Value Strategies: Convertible Bond Arbitrage,,,203
Alternative Investments,Module 4: Hedge Fund Strategies,Opportunistic Strategies: Global Macro Strategies,,,208
Alternative Investments,Module 4: Hedge Fund Strategies,Opportunistic Strategies: Managed Futures,,,211
Alternative Investments,Module 4: Hedge Fund Strategies,Specialist Strategies,,,216
Alternative Investments,Module 4: Hedge Fund Strategies,Multi-Manager Strategies,,,223
Alternative Investments,Module 4: Hedge Fund Strategies,Analysis of Hedge Fund Strategies Using a Conditional Factor Risk Model,,,230
Alternative Investments,Module 4: Hedge Fund Strategies,Evaluating Equity Hedge Fund Strategies: Application,,,235
Alternative Investments,Module 4: Hedge Fund Strategies,Evaluating Multi-Manager Hedge Fund Strategies: Application,,,240
Alternative Investments,Module 4: Hedge Fund Strategies,Portfolio Contribution of Hedge Fund Strategies,,,243
Portfolio Construction,Module 1: Economics and Investment Markets,The Present Value Model,,,12
Portfolio Construction,Module 1: Economics and Investment Markets,Expectations and Asset Values,,,14
Portfolio Construction,Module 1: Economics and Investment Markets,The Discount Rate on Real Default-Free Bonds: Interest Rates,,,15
Portfolio Construction,Module 1: Economics and Investment Markets,The Discount Rate on Real Default-Free Bonds: Uncertainty and Risk Premiums,,,19
Portfolio Construction,Module 1: Economics and Investment Markets,The Discount Rate on Real Default-Free Bonds: Risk Premiums on Risky Assets,,,21
Portfolio Construction,Module 1: Economics and Investment Markets,Default-Free Interest Rates and Economic Growth,,,25
Portfolio Construction,Module 1: Economics and Investment Markets,Real Default-Free Interest Rates and the Business Cycle,,,28
Portfolio Construction,Module 1: Economics and Investment Markets,The Yield Curve and the Business Cycle,,,34
Portfolio Construction,Module 1: Economics and Investment Markets,Treasury Bills and the Business Cycle,,,36
Portfolio Construction,Module 1: Economics and Investment Markets,Conventional Government Bonds and Break-even Inflation Rates,,,40
Portfolio Construction,Module 1: Economics and Investment Markets,The Default-Free Yield Curve and the Business Cycle,,,44
Portfolio Construction,Module 1: Economics and Investment Markets,The Slope of the Yield Curve and the Term Spread,,,48
Portfolio Construction,Module 1: Economics and Investment Markets,Evidence on Risk Premiums for Default-Free Bonds,,,51
Portfolio Construction,Module 1: Economics and Investment Markets,Other Factors,,,54
Portfolio Construction,Module 1: Economics and Investment Markets,Credit Premiums and the Business Cycle,,,56
Portfolio Construction,Module 1: Economics and Investment Markets,Industry- and Company-Specific Credit Quality,,,61
Portfolio Construction,Module 1: Economics and Investment Markets,Sovereign Credit Risk,,,64
Portfolio Construction,Module 1: Economics and Investment Markets,Equities and the Equity Risk Premium,,,67
Portfolio Construction,Module 1: Economics and Investment Markets,Earnings Growth and the Economic Cycle,,,69
Portfolio Construction,Module 1: Economics and Investment Markets,How Big is the Equity Risk Premium?,,,74
Portfolio Construction,Module 1: Economics and Investment Markets,Valuation Multiples,,,75
Portfolio Construction,Module 1: Economics and Investment Markets,Commercial Real Estate,,,77
Portfolio Construction,Module 1: Economics and Investment Markets,Commercial Real Estate and the Business Cycle,,,81
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,Active Management and Value Added,,,98
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,The Sharpe Ratio and The Information Ratio,,,103
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,Constructing Optimal Portfolios,,,109
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,Active Security Returns and The Fundamental Law of Active Management,,,114
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,The Full Fundamental Law,,,120
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,Applications of the Fundamental Law and Global Equity Strategy,,,125
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,Fixed-Income Strategies,,,132
Portfolio Construction,Module 2: Analysis of Active Portfolio Management,Practical Limitations,,,138
Portfolio Construction,Module 3: Exchange-Traded Funds: Mechanics and Applications,ETF Mechanics,,,162
Portfolio Construction,Module 3: Exchange-Traded Funds: Mechanics and Applications,Understanding ETFs,,,168
Portfolio Construction,Module 3: Exchange-Traded Funds: Mechanics and Applications,ETF Risks,,,183
Portfolio Construction,Module 3: Exchange-Traded Funds: Mechanics and Applications,ETFs in Portfolio Management,,,188
Portfolio Construction,Module 4: Using Multifactor Models,Background and Uses,,,209
Portfolio Construction,Module 4: Using Multifactor Models,Arbitrage Pricing Theory and Multifactor Models,,,211
Portfolio Construction,Module 4: Using Multifactor Models,Types of Multifactor Models,,,217
Portfolio Construction,Module 4: Using Multifactor Models,Macroeconomic Factor Models,,,223
Portfolio Construction,Module 4: Using Multifactor Models,Fundamental Factor Models,,,227
Portfolio Construction,Module 4: Using Multifactor Models,Factor Models in Return Attribution,,,229
Portfolio Construction,Module 4: Using Multifactor Models,Factor Models in Risk Attribution,,,232
Portfolio Construction,Module 4: Using Multifactor Models,Factor Models in Portfolio Construction,,,237
Portfolio Construction,Module 4: Using Multifactor Models,Factor Models in Strategic Portfolio Decisions,,,242
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Estimating VaR,,,262
Portfolio Construction,Module 5: Measuring and Managing Market Risk,The Parametric Method of VaR Estimation,,,264
Portfolio Construction,Module 5: Measuring and Managing Market Risk,The Historical Simulation Method of VaR Estimation,,,268
Portfolio Construction,Module 5: Measuring and Managing Market Risk,The Monte Carlo Simulation Method of VaR Estimation,,,271
Portfolio Construction,Module 5: Measuring and Managing Market Risk,"Advantages, Limitations, and Extensions of VaR",,,274
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Other Key Risk Measures,,,280
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Scenario Risk Measures,,,284
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Sensitivity and Scenario Risk Measures and VaR,,,290
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Using Constraints in Market Risk Management,,,294
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Market Participants and the Risk Measures They Use,,,299
Portfolio Construction,Module 5: Measuring and Managing Market Risk,Pension Funds and Insurers,,,305
Portfolio Construction,Module 6: Backtesting and Simulation,The Objectives of Backtesting,,,330
Portfolio Construction,Module 6: Backtesting and Simulation,The Backtesting Process,,,331
Portfolio Construction,Module 6: Backtesting and Simulation,Backtesting Multifactor Models,,,338
Portfolio Construction,Module 6: Backtesting and Simulation,Common Problems in Backtesting,,,348
Portfolio Construction,Module 6: Backtesting and Simulation,Historical Scenario Analysis,,,358
Portfolio Construction,Module 6: Backtesting and Simulation,Simulation Analysis,,,361
Portfolio Construction,Module 6: Backtesting and Simulation,Sensitivity Analysis,,,371
Ethical and Professional Standards,Module 1: Code of Ethics and Standards of Professional Conduct,Preface,,,17
Ethical and Professional Standards,Module 1: Code of Ethics and Standards of Professional Conduct,Ethics and the Investment Industry,,,23
Ethical and Professional Standards,Module 1: Code of Ethics and Standards of Professional Conduct,CFA Institute Code of Ethics and Standards of Professional Conduct,,,27
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Guidance for Standard I: Professionalism,,,37
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I: Professionalism,,,37
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(A): Knowledge of the Law,,,38
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(A) Compliance Practices,,,42
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(A) Application of the Standard,,,43
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(B): Independence and Objectivity,,,45
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(B) Compliance Practices,,,49
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(B) Application of the Standard,,,49
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(C): Misrepresentation,,,54
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(C) Compliance Practices,,,58
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(C) Application of the Standard,,,58
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(D): Misconduct,,,66
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(D) Compliance Practices,,,67
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(D) Application of the Standard,,,67
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(E): Competence,,,70
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(E) Compliance Practices,,,71
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard I(E) Application of the Standard,,,71
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Guidance for Standard II: Integrity of Capital Markets,,,81
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II: Integrity of Capital Markets,,,81
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II(A): Material Nonpublic Information,,,82
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II(A) Compliance Practices,,,85
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II(A) Application of the Standard,,,87
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II(B): Market Manipulation,,,91
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II(B) Compliance Practices,,,92
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard II(B) Application of the Standard,,,93
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Guidance for Standard III: Duties to Clients,,,105
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III: Duties to Clients,,,105
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,"Standard III(A): Loyalty, Prudence, and Care",,,106
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(A) Compliance Practices,,,110
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(A) Application of the Standard,,,111
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(B): Fair Dealing,,,115
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(B) Compliance Practices,,,117
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(B) Application of the Standard,,,119
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(C): Suitability,,,123
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(C) Compliance Practices,,,126
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(C) Application of the Standard,,,127
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(D): Performance Presentation,,,130
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(D) Compliance Practices,,,130
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(D) Application of the Standard,,,131
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(E): Preservation of Confidentiality,,,133
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(E) Compliance Practices,,,135
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard III(E) Application of the Standard,,,136
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Guidance for Standard IV: Duties to Employers,,,151
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV: Duties to Employers,,,151
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(A): Loyalty,,,152
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(A) Compliance Practices,,,155
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(A) Application of the Standard,,,155
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(B): Additional Compensation Arrangements,,,159
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(B) Compliance Practices,,,160
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(B) Application of the Standard,,,160
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(C): Responsibilities of Supervisors,,,161
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(C) Compliance Practices,,,163
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard IV(C) Application of the Standard,,,165
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,"Guidance for Standard V: Investment Analysis, Recommendations, and Actions",,,177
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,"Standard V: Investment Analysis, Recommendations, and Actions",,,177
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(A): Diligence and Reasonable Basis,,,178
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(A) Compliance Practices,,,181
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(A) Application of the Standard,,,182
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(B): Communication with Clients and Prospective Clients,,,187
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(B) Compliance Practices,,,191
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(B) Application of the Standard,,,191
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(C): Record Retention,,,196
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(C) Compliance Practices,,,197
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard V(C) Application of the Standard,,,198
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Guidance for Standard VI: Conflicts of Interest,,,207
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI: Conflicts of Interest,,,207
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(A): Avoid or Disclose Conflicts,,,208
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(A) Application of the Standard,,,211
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(B): Priority of Transactions,,,213
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(B) Compliance Practices,,,214
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(B) Application of the Standard,,,216
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(C): Referral Fees,,,217
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(C) Compliance Practices,,,218
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VI(C) Application of the Standard,,,218
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Guidance for Standard VII: Responsibilities as a CFA Institute Member or CFA Candidate,,,223
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VII: Responsibilities as a CFA Institute Member or CFA Candidate,,,223
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VII(A): Conduct as Participants in CFA Institute Programs,,,224
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VII(A) Application of the Standard,,,225
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,"Standard VII(B): Reference to CFA Institute, the CFA Designation, and the CFA Program",,,229
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VII(B) Compliance Practices,,,231
Ethical and Professional Standards,Module 2: Guidance for Standards I-VII,Standard VII(B) Application of the Standard,,,232
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,Serengeti Advisory Services,,,238
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,Banco Libertad,,,250
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,QuantHouse,,,257
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,"Jacobs, Riccio, and Associates",,,262
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,Magadi Asset Management,,,269
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,Syyark,,,276
Ethical and Professional Standards,Module 3: Application of the Code and Standards: Level II,Agarway,,,282
