Group Name,Module,Lesson,YouTube Link,Duration
Quantitative Methods,Module 7: Big Data Projects,Executing a data analysis project,https://youtu.be/q1HNFXfe9BE,1126
Quantitative Methods,Module 7: Big Data Projects,Data preparation and wrangling,https://youtu.be/CyuyK9uHo0E,3284
Quantitative Methods,Module 7: Big Data Projects,Unstructured (text) data,https://youtu.be/Zg_qawq2RTk,1775
Quantitative Methods,Module 7: Big Data Projects,Data exploration objectives and methods,https://youtu.be/gKAF68_i3Cw,1529
Quantitative Methods,Module 7: Big Data Projects,Unstructured data: text exploration,https://youtu.be/u6qSVQqs3U4,1608
Quantitative Methods,Module 7: Big Data Projects,"Model training, structured vs. unstructured data, and method selection",https://youtu.be/jJMQ7m7IVDs,1048
Quantitative Methods,Module 7: Big Data Projects,Performance evaluation,https://youtu.be/yuRMsSGk1pU,2182
Quantitative Methods,Module 7: Big Data Projects,Tuning,https://youtu.be/IpajA08LBi0,1219
Quantitative Methods,Module 7: Big Data Projects,Financial forecasting project,https://youtu.be/B2hiGoqDpXc,821
Quantitative Methods,Module 7: Big Data Projects,Financial forecasting project - data exploration,https://youtu.be/so0xQ0swq3w,686
Quantitative Methods,Module 7: Big Data Projects,Financial forecasting project - model training,https://youtu.be/tOngKzco4WA,1026
Quantitative Methods,Module 7: Big Data Projects,Financial forecasting project - results and interpretation,https://youtu.be/ZLwr5bKmncw,206
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,FX market concepts,https://youtu.be/z6fyRc56P0U,2665
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Arbitrage constraints on spot exchange rate quotes,https://youtu.be/5le6NnqodCU,4873
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Forward markets,https://youtu.be/BpBlGQ5hZ8w,2623
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,The MtM value of a forward contract,https://youtu.be/3uXk7Ab3sOs,1138
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Uncovered interest rate parity,https://youtu.be/xjrQXIOudaQ,887
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Forward rate parity,https://youtu.be/ExQ3imMZ7Ts,507
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Purchasing power parity,https://youtu.be/jBD_7Wb4LMI,1214
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,The international Fisher effect,https://youtu.be/7GFXVikXlFA,1299
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,The carry trade,https://youtu.be/D5fqVwSyLpY,970
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,The impact of balance of payment flows,https://youtu.be/NNc3UBhYyjU,1756
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Capital flows,https://youtu.be/OviWEhXZ3AY,650
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Monetary and fiscal policies,https://youtu.be/E2zrfFlgYms,2728
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Exchange rate management: intervention and controls,https://youtu.be/X5J2MgTq7VE,1093
Economics,Module 1: Currency Exchange Rates: Understanding Equilibrium Value,Warning signs of a currency crisis,https://youtu.be/UqG47YsYPv4,474
Economics,Module 2: Economic Growth,Factors favoring and limiting economic growth,https://youtu.be/isSqx1aVXxA,898
Economics,Module 2: Economic Growth,Why potential growth matters to investors,https://youtu.be/QZ4cLQfryds,1228
Economics,Module 2: Economic Growth,Production function and growth accounting,https://youtu.be/h5xFZ1urW7k,1964
Economics,Module 2: Economic Growth,Capital deepening versus technological progress,https://youtu.be/dwgQFZTRVvY,762
Economics,Module 2: Economic Growth,Natural resources,https://youtu.be/FGDK0i-beho,543
Economics,Module 2: Economic Growth,Labor supply,https://youtu.be/dd7CmxnIOyY,558
Economics,Module 2: Economic Growth,"ICT, non-ICT, and technology and public infrastructure",https://youtu.be/c3A_XIkhnDA,836
Economics,Module 2: Economic Growth,Theories of growth,https://youtu.be/PWqP5G1QqoA,2545
Economics,Module 2: Economic Growth,Implications of the neoclassical model,https://youtu.be/8IR6-LdbILU,776
Economics,Module 2: Economic Growth,Extensions of the neoclassical model,https://youtu.be/XQ-T9M5W2R8,579
Economics,Module 2: Economic Growth,Endogenous growth model,https://youtu.be/BhHTvNwbKrg,1776
Economics,Module 2: Economic Growth,Convergence hypothesis,https://youtu.be/YxA2bML9R2A,1281
Economics,Module 2: Economic Growth,Growth in an open economy,https://youtu.be/SOVaaPnbQKM,1202
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Dividends: forms and effects on shareholder wealth and financial ratios,https://youtu.be/V2iVEsPbrWc,2668
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Dividend policy and company value: theories,https://youtu.be/UM8M6QYljb4,1622
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Dividend signaling,https://youtu.be/Dj0HLkqvDCg,1339
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Factors affecting dividend policy in practice,https://youtu.be/J0mwU-li9Sg,2241
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Payout policies,https://youtu.be/15n5ds6Hq_4,824
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Share repurchases,https://youtu.be/s601GQM4f2I,2188
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,The dividend versus share repurchase decision,https://youtu.be/jGyLe5R6Asc,1093
Corporate Finance,Module 1: Analysis of Dividends and Share Repurchases,Analysis of dividend safety,https://youtu.be/QAyQFebFHeU,536
Corporate Finance,"Module 2: Environmental, Social, and Governance (ESG) Considerations in Investment Analysis",Ownership structures and their effects on corporate governance,https://youtu.be/fA6_Zk-vT4M,2286
Corporate Finance,"Module 2: Environmental, Social, and Governance (ESG) Considerations in Investment Analysis",Evaluating corporate governance policies and procedures,https://youtu.be/FoRA-bUJuIo,532
Corporate Finance,"Module 2: Environmental, Social, and Governance (ESG) Considerations in Investment Analysis",ESG-related risks and opportunities,https://youtu.be/ivz0ayMM8lM,595
Corporate Finance,Module 3: Cost of Capital: Advanced Topics,Cost of capital factors,https://youtu.be/8aKVzioANaQ,2246
Corporate Finance,Module 3: Cost of Capital: Advanced Topics,Estimating the cost of debt,https://youtu.be/miJNhz7jhRA,779
Corporate Finance,Module 3: Cost of Capital: Advanced Topics,The ERP,https://youtu.be/D4Lm0T1AHBo,2475
Corporate Finance,Module 3: Cost of Capital: Advanced Topics,The cost of equity,https://youtu.be/fuzQeyFUi-U,2646
Corporate Finance,Module 4: Corporate Restructuring,"Corporate evolution, actions, and motivations",https://youtu.be/q-D6fTqRqzc,3498
Corporate Finance,Module 4: Corporate Restructuring,Evaluating corporate restructurings,https://youtu.be/9It4-7tE7cI,1290
Corporate Finance,Module 4: Corporate Restructuring,Modeling and valuation,https://youtu.be/1MKeJ5M_W2M,673
Financial Statement Analysis,Module 1: Intercorporate Investments,Corporate investment categories and financial assets,https://youtu.be/c_VFrxTdS-o,1800
Financial Statement Analysis,Module 1: Intercorporate Investments,Investments in associates and joint ventures,https://youtu.be/xuig4nC8GhE,1624
Financial Statement Analysis,Module 1: Intercorporate Investments,Associates - amortization of excess purchase price,https://youtu.be/ZP74BsZHYeQ,2445
Financial Statement Analysis,Module 1: Intercorporate Investments,Transactions with associates,https://youtu.be/3QnzKFyMxpw,1375
Financial Statement Analysis,Module 1: Intercorporate Investments,Acquisition method - full and partial goodwill,https://youtu.be/Y86HQj2MgOk,2478
Financial Statement Analysis,Module 1: Intercorporate Investments,Acquisition method and the consolidation process,https://youtu.be/pzYehwHG0m4,2667
Financial Statement Analysis,Module 1: Intercorporate Investments,Variable interest and special purpose entities,https://youtu.be/fe5J_2Meacc,1029
Financial Statement Analysis,Module 1: Intercorporate Investments,Additional issues in business combinations,https://youtu.be/BcFCWwJX2UQ,1655
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Types of employee compensation,https://youtu.be/wswEaSVsjxI,1402
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Financial reporting for share-based compensation,https://youtu.be/LMbMTjiy7Tw,2504
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Share-based compensation: tax and share count effects,https://youtu.be/z3mKeoCXvwY,2109
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Share-based compensation: financial statement modeling,https://youtu.be/5_CZiu-hNUw,1365
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Financial reporting for DC plans,https://youtu.be/cX3H5kigRo8,1290
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Financial reporting for DB plans under IFRS,https://youtu.be/S8mpsBSBLlc,4971
Financial Statement Analysis,Module 2: Employee Compensation: Post-Employment and Share-Based,Financial reporting for DB plans under US GAAP,https://youtu.be/sisQz-pqDYM,2051
Financial Statement Analysis,Module 3: Multinational Operations,Foreign currency transactions,https://youtu.be/yQeWC1zw9_8,1538
Financial Statement Analysis,Module 3: Multinational Operations,Current rate method,https://youtu.be/rpWv4-N4rq8,1741
Financial Statement Analysis,Module 3: Multinational Operations,Temporal method,https://youtu.be/N5QlT_xQ1co,2457
Financial Statement Analysis,Module 3: Multinational Operations,Translation in an hyperinflationary economy,https://youtu.be/_Hr0ubx2L8s,2951
Financial Statement Analysis,Module 3: Multinational Operations,Translation analytical issues,https://youtu.be/QEeobYPvdtI,1508
Financial Statement Analysis,Module 4: Analysis of Financial Institutions,What makes financial institutions different,https://youtu.be/5DJaRLe6wNU,1362
Financial Statement Analysis,Module 4: Analysis of Financial Institutions,The CAMELS approach to bank analysis,https://youtu.be/WiJAcys5hmg,2512
Financial Statement Analysis,Module 4: Analysis of Financial Institutions,Non-CAMELS factors,https://youtu.be/NaK9bN5nCcE,1458
Financial Statement Analysis,Module 4: Analysis of Financial Institutions,Analyzing property and casualty insurers,https://youtu.be/c_vPJsjJEns,2054
Financial Statement Analysis,Module 4: Analysis of Financial Institutions,Analyzing life and health insurers,https://youtu.be/_B-LP5Xnlls,712
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Conceptual framework for assessing financial reporting quality,https://youtu.be/8DXV4JFH5ss,1276
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,M&A issues and divergence from economic reality,https://youtu.be/LCdUXN8ChkE,1216
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,General steps of evaluation,https://youtu.be/11TDfT7IQyI,660
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Quantitative tools to assess the likelihood of misreporting,https://youtu.be/7BFRW2N5X4E,954
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Earnings quality indicators,https://youtu.be/CpiGxMBmvdw,508
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Earnings persistence,https://youtu.be/WQydNoiEPLg,770
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Mean reversion in earnings,https://youtu.be/3EuGXZgYNns,609
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Bankruptcy prediction models,https://youtu.be/Aitx7Htlgfw,541
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Cash flow quality,https://youtu.be/QHitJuN98KA,856
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Balance sheet quality,https://youtu.be/_luJx5NnShQ,1517
Financial Statement Analysis,Module 5: Evaluating Quality of Financial Reports,Sources of information about risk,https://youtu.be/GG3L990HXAM,922
Financial Statement Analysis,Module 6: Integration of Financial Statement Analysis Techniques,Companion to the Nestle case study,https://youtu.be/LF9AgYgSkfk,953
Equities,Module 1: Equity Valuation: Applications and Processes,Applications of equity valuation,https://youtu.be/VTU9hSppO2A,1486
Equities,Module 1: Equity Valuation: Applications and Processes,Understanding the business,https://youtu.be/7tkiCqvub1g,630
Equities,Module 1: Equity Valuation: Applications and Processes,Analysis of financial reports and sources of information,https://youtu.be/16eEuM_lalY,1204
Equities,Module 1: Equity Valuation: Applications and Processes,Selecting the appropriate valuation method,https://youtu.be/EWntWh51rms,1355
Equities,Module 1: Equity Valuation: Applications and Processes,Issues in model selection and interpretation,https://youtu.be/yh3S7zVss6E,1037
Equities,Module 1: Equity Valuation: Applications and Processes,The analyst's role and responsibilities,https://youtu.be/kAOeL9FCv00,942
Equities,Module 1: Equity Valuation: Applications and Processes,Communicating valuation results,https://youtu.be/mccw1ecpi38,579
Equities,Module 2: Discounted Dividend Valuation,Present value models overview,https://youtu.be/_uJRCCvdw1w,2529
Equities,Module 2: Discounted Dividend Valuation,The dividend discount model,https://youtu.be/HXC_rTXTlYc,707
Equities,Module 2: Discounted Dividend Valuation,The Gordon growth model,https://youtu.be/efThQaWSqm4,1158
Equities,Module 2: Discounted Dividend Valuation,Share repurchases and the implied dividend growth rate,https://youtu.be/do1mfY1toWs,807
Equities,Module 2: Discounted Dividend Valuation,The Gordon growth model: other issues,https://youtu.be/YPutJOo7hB8,1769
Equities,Module 2: Discounted Dividend Valuation,Multistage dividend discount models,https://youtu.be/4cG-SMuRkPY,1180
Equities,Module 2: Discounted Dividend Valuation,The H-model and three-stage DDMs,https://youtu.be/HVYls2Al4SU,1882
Equities,Module 2: Discounted Dividend Valuation,Estimating the required rate of return,https://youtu.be/L5SnCiJXdVY,452
Equities,Module 2: Discounted Dividend Valuation,The financial determinants of growth rates,https://youtu.be/h8S68GedHHs,865
Equities,Module 3: Free Cash Flow Valuation,FCFF and FCFE valuation,https://youtu.be/ru1TeYafVUo,1080
Equities,Module 3: Free Cash Flow Valuation,Computing FCFF from Net Income and the cash flow statement,https://youtu.be/m4Fw1sOo4Vw,1326
Equities,Module 3: Free Cash Flow Valuation,Additional considerations in computing FCFF,https://youtu.be/hJzJ6C4Kuj4,761
Equities,Module 3: Free Cash Flow Valuation,Computing FCFE from FCFF,https://youtu.be/OU1_wwm6mu0,589
Equities,Module 3: Free Cash Flow Valuation,Finding FCFF and FCFE from EBITA or EBITDA,https://youtu.be/_CMxnQkuijo,956
Equities,Module 3: Free Cash Flow Valuation,FCFF and FCFE on uses-of-free-cash-flow basis,https://youtu.be/N3UsFa1pzlo,589
Equities,Module 3: Free Cash Flow Valuation,Forecasting FCFF and FCFE,https://youtu.be/xWkWghMOF18,1019
Equities,Module 3: Free Cash Flow Valuation,Other issues in free cash flow analysis,https://youtu.be/PJGLuFzhFWA,1259
Equities,Module 3: Free Cash Flow Valuation,Free cash flow model variations,https://youtu.be/tR1epZg1xkQ,419
Equities,Module 3: Free Cash Flow Valuation,Two- and three-stage free cash flow models,https://youtu.be/Yb9qlTEAwr0,1765
Equities,Module 3: Free Cash Flow Valuation,Integrating ESG in free cash flow models and non-operating assets,https://youtu.be/-f7Betim6eU,428
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price and enterprise value multiples,https://youtu.be/gCEdndb9FZU,654
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Earnings: the basics,https://youtu.be/pX9GojEKzYM,2044
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Earnings: valuation based on forecasted fundamentals,https://youtu.be/w0VjYaDruks,787
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Earnings: using the P/E in valuation,https://youtu.be/oDMKTNNgmkM,2694
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Book value,https://youtu.be/_qIHcF4ng-w,1937
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Sales,https://youtu.be/BTzLI-aZzAw,854
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Cash Flow,https://youtu.be/R2Zw1s8LADA,1039
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Price/Dividends and dividend yield,https://youtu.be/lE5l_yhxgTk,1024
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Enterprise value/EBITDA,https://youtu.be/m8VWcb6oFaI,1222
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Other enterprise value multiples,https://youtu.be/tg6fQ8j9USc,528
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,International considerations when using multiples,https://youtu.be/6Amn4mY3DXk,282
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Momentum valuation indicators,https://youtu.be/TRRPOL-rU6Q,589
Equities,Module 4: Market-Based Valuation: Price and Enterprise Value Multiples,Valuation indicators: issues in practice,https://youtu.be/a6b-Wjhugtw,843
Equities,Module 5: Residual Income Valuation,Residual income,https://youtu.be/RzTY7VFYwrU,1649
Equities,Module 5: Residual Income Valuation,The residual income model,https://youtu.be/bmLIPGaNhKw,1030
Equities,Module 5: Residual Income Valuation,Single-stage and multistage residual income valuation,https://youtu.be/LhJL8iFYUO8,3310
Equities,Module 5: Residual Income Valuation,Relationship to other approaches,https://youtu.be/zrdOkdDNA5g,852
Equities,Module 5: Residual Income Valuation,Accounting and international considerations,https://youtu.be/PLItlH_CQHI,899
Equities,Module 6: Private Company Valuation,Public versus private company valuation,https://youtu.be/TrXjozUN1YQ,498
Equities,Module 6: Private Company Valuation,Private company valuation uses and areas of focus,https://youtu.be/JSx4paR8xZk,414
Equities,Module 6: Private Company Valuation,Earnings normalization and cash flow estimation,https://youtu.be/LiyFV1cbGYY,1354
Equities,Module 6: Private Company Valuation,Private company discount rates and required rates of return,https://youtu.be/Y_SaQQq0Ti0,916
Equities,Module 6: Private Company Valuation,Valuation discounts and premiums,https://youtu.be/dNQOt5IfJ7g,1077
Equities,Module 6: Private Company Valuation,Private company valuation: income-based approach,https://youtu.be/h1htkdT6mlQ,1385
Equities,Module 6: Private Company Valuation,Private company valuation: market-based approach,https://youtu.be/XRJWiKCAqPc,997
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,"Spot rates, forward rates, and the forward rate model",https://youtu.be/eYQD5ZKPu8Y,3884
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,YTM in relation to spot and forward rates,https://youtu.be/yoBtKPaUqD0,2266
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,Active bond portfolio management,https://youtu.be/iHW4RkvEamo,1525
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,The swap rate curve,https://youtu.be/kfuaL9IzOg8,1467
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,The swap spread and spreads as a price quotation convention,https://youtu.be/x8Q2keOscmc,901
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,Traditional theories of the term structure of interest rates,https://youtu.be/P7WhMsDkXwk,1505
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,Yield curve factor models,https://youtu.be/M6wuO1El86o,499
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,The maturity structure of yield curve volatilities,https://youtu.be/_HpYqmGb-NM,695
Fixed Income,Module 1: The Term Structure and Interest Rate Dynamics,Developing interest rate views using macroeconomic variables,https://youtu.be/7D-E6BKjcGg,1648
Fixed Income,Module 2: The Arbitrage-Free Valuation Framework,Arbitrage-free valuation for an option-free bond,https://youtu.be/64FqDdNQOk0,3403
Fixed Income,Module 2: The Arbitrage-Free Valuation Framework,Valuing an option-free bond with a binomial tree,https://youtu.be/PVEsXHdhi1c,935
Fixed Income,Module 2: The Arbitrage-Free Valuation Framework,Calibrating the binomial interest rate tree to the term structure,https://youtu.be/xB9qggbXRc0,633
Fixed Income,Module 2: The Arbitrage-Free Valuation Framework,Valuing an option-free bond with pathwise valuation,https://youtu.be/nCz6ax0t-W0,869
Fixed Income,Module 2: The Arbitrage-Free Valuation Framework,The Monte Carlo method,https://youtu.be/sAPCR68a8QU,757
Fixed Income,Module 2: The Arbitrage-Free Valuation Framework,Term structure models,https://youtu.be/38pCgRWNiQw,2236
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Overview of embedded options,https://youtu.be/ZOACa84j0HQ,1721
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Callable and putable bonds,https://youtu.be/rtZJGJkpp28,1428
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Effects of interest rate volatility,https://youtu.be/FezBmr_H6Q4,631
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Valuation of default-free callable and putable bonds with interest rate volatility,https://youtu.be/z4k48G44zy4,1176
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Valuation of risky callable and putable bonds,https://youtu.be/K44e_VfI6P4,875
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Bonds with embedded options: effective duration,https://youtu.be/-4swYAml-5g,1412
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,One-sided and key rate duration,https://youtu.be/agMXvKMClYg,593
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Effective convexity,https://youtu.be/Goe15_SDzgY,314
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Capped and floored floating-rate bonds,https://youtu.be/gMJgwytLp2I,1003
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Convertible bonds,https://youtu.be/4iGq36SIfXY,2782
Fixed Income,Module 3: Valuation and Analysis of Bonds with Embedded Options,Comparison of risk-return characteristics,https://youtu.be/HDn1vXALt1s,774
Fixed Income,Module 4: Credit Analysis Models,Modeling credit risk and the credit valuation adjustment,https://youtu.be/I0ZWgP5irEw,2277
Fixed Income,Module 4: Credit Analysis Models,Credit scores and credit ratings,https://youtu.be/5wGFpfqIkMM,952
Fixed Income,Module 4: Credit Analysis Models,Structural and reduced-form credit models,https://youtu.be/gpthnXGxQBA,1592
Fixed Income,Module 4: Credit Analysis Models,Valuing risky bonds in an arbitrage-free framework,https://youtu.be/mKZh1hbPJ6E,4975
Fixed Income,Module 4: Credit Analysis Models,Interpreting changes in credit spreads,https://youtu.be/DfZubYcxov8,479
Fixed Income,Module 4: Credit Analysis Models,The term structure of credit spreads,https://youtu.be/PB1ZooUoBOg,1107
Fixed Income,Module 4: Credit Analysis Models,Credit analysis for securitized debt,https://youtu.be/ZUIUqe0PtoY,1384
Fixed Income,Module 5: Credit Default Swaps,CDS overview,https://youtu.be/Tmg2whqiSyM,1373
Fixed Income,Module 5: Credit Default Swaps,Important features of CDS markets,https://youtu.be/xEuk8Brd2JI,2430
Fixed Income,Module 5: Credit Default Swaps,Basics of CDS valuation and pricing,https://youtu.be/K-Jsh6dwhJc,1157
Fixed Income,Module 5: Credit Default Swaps,Applications of CDS,https://youtu.be/6r0o8L30oTw,733
Fixed Income,Module 5: Credit Default Swaps,Valuation differences and basis trading,https://youtu.be/u5MqSw0houI,357
Derivatives,Module 1: Pricing and Valuation of Forward Commitments,Pricing and valuation of generic forward and futures contracts,https://youtu.be/Mquns3J9_Os,1464
Derivatives,Module 1: Pricing and Valuation of Forward Commitments,Carry arbitrage,https://youtu.be/qfPnEmVZdBg,2926
