Group Name,Module,Lesson,YouTube Link,Duration
Quantitative Methods,Module 1: Basics of Multiple Regression and Underlying Assumptions,Multiple regression basics,https://youtu.be/PpvX00rldNQ,1232
Quantitative Methods,Module 1: Basics of Multiple Regression and Underlying Assumptions,Multiple regression assumptions,https://youtu.be/rBOSoPQW5Lk,1157
Quantitative Methods,Module 2: Evaluating Regression Model Fit and Interpreting Model Results,Goodness of fit,https://youtu.be/xtOJeg4xrlM,3185
Quantitative Methods,Module 2: Evaluating Regression Model Fit and Interpreting Model Results,Testing joint hypotheses for coefficients,https://youtu.be/1BfgFuLhRcc,1717
Quantitative Methods,Module 2: Evaluating Regression Model Fit and Interpreting Model Results,Forecasting using multiple regression,https://youtu.be/A3uXg31sTM0,340
Quantitative Methods,Module 3: Model Misspecification,Misspecified functional form,https://youtu.be/tQhMn35WE_4,902
Quantitative Methods,Module 3: Model Misspecification,Heteroskedasticity,https://youtu.be/tLOm8gDhWRM,1559
Quantitative Methods,Module 3: Model Misspecification,Serial correlation,https://youtu.be/F88-ONEjCwo,1342
Quantitative Methods,Module 3: Model Misspecification,Multicollinearity,https://youtu.be/8G3C-TnxyZo,927
Quantitative Methods,Module 4: Extensions of Multiple Regression,Influence analysis,https://youtu.be/0x4a8Q8ib3o,1682
Quantitative Methods,Module 4: Extensions of Multiple Regression,Dummy variables,https://youtu.be/iVA1zPWoWOs,794
Quantitative Methods,Module 4: Extensions of Multiple Regression,Qualitative dependent variables,https://youtu.be/a05U9dOfmZw,1659
Quantitative Methods,Module 5: Time-Series Analysis,Linear and log-linear trend models,https://youtu.be/WMBedbYQNiE,1023
Quantitative Methods,Module 5: Time-Series Analysis,Trend models and testing for correlated errors,https://youtu.be/I27fxc8g1Eo,813
Quantitative Methods,Module 5: Time-Series Analysis,AR time-series models and covariance-stationary series,https://youtu.be/mt52JEI3nDg,1154
Quantitative Methods,Module 5: Time-Series Analysis,Detecting serially correlated errors in an AR model,https://youtu.be/QptUNNmjC4Y,1172
Quantitative Methods,Module 5: Time-Series Analysis,Mean reversion and multiperiod forecasts,https://youtu.be/YAu2mRnQyho,600
Quantitative Methods,Module 5: Time-Series Analysis,Comparing forecast model performance,https://youtu.be/2mMOfD6irkc,412
Quantitative Methods,Module 5: Time-Series Analysis,Instability of regression coefficients,https://youtu.be/6uPiZnI1T68,200
Quantitative Methods,Module 5: Time-Series Analysis,Random walks,https://youtu.be/d_8DeNFL-JA,662
Quantitative Methods,Module 5: Time-Series Analysis,Unit root test of nonstationarity,https://youtu.be/DftFuJunmiI,569
Quantitative Methods,Module 5: Time-Series Analysis,Moving-average time-series models,https://youtu.be/cWb86BDDm3c,799
Quantitative Methods,Module 5: Time-Series Analysis,Seasonality in time-series models,https://youtu.be/a4nW6q5kwPg,447
Quantitative Methods,Module 5: Time-Series Analysis,ARMA and ARCH models,https://youtu.be/RzSJ4UF7WcQ,770
Quantitative Methods,Module 5: Time-Series Analysis,Regressions with more than one time series,https://youtu.be/ipVXG3U4mO0,696
Quantitative Methods,Module 6: Machine Learning,Machine learning basics,https://youtu.be/CmBHcfvRJVc,1311
Quantitative Methods,Module 6: Machine Learning,Evaluating ML algorithm performance,https://youtu.be/Y0i_fq226Ic,2145
Quantitative Methods,Module 6: Machine Learning,Supervised ML algorithm: penalized regression,https://youtu.be/Dc6DnuLem_0,1083
Quantitative Methods,Module 6: Machine Learning,Support vector machine,https://youtu.be/AZxKxUwcoPQ,765
Quantitative Methods,Module 6: Machine Learning,K-nearest neighbor,https://youtu.be/Qf_mNYjdmm8,949
Quantitative Methods,Module 6: Machine Learning,Classification and regression tree,https://youtu.be/oSFuMh6fR8E,1177
Quantitative Methods,Module 6: Machine Learning,Ensemble learning and random forest,https://youtu.be/Goigtz9tEOA,1010
Quantitative Methods,Module 6: Machine Learning,Classification of winning and losing funds case study,https://youtu.be/xUusOK9eAnQ,1295
Quantitative Methods,Module 6: Machine Learning,Unsupervised ML algorithms and principal component analysis,https://youtu.be/vGnfxW2Vlgo,1255
Quantitative Methods,Module 6: Machine Learning,Clustering,https://youtu.be/5qkG5sZkf1A,387
Quantitative Methods,Module 6: Machine Learning,K-means clustering,https://youtu.be/BeF1Smum7pk,1118
Quantitative Methods,Module 6: Machine Learning,Hierarchical clustering,https://youtu.be/t4NXBBVDDm8,1369
Quantitative Methods,Module 6: Machine Learning,Clustering stocks based on co-movement similarity case study,https://youtu.be/KHrYurcmCUk,317
Quantitative Methods,Module 6: Machine Learning,Neural networks,https://youtu.be/IiiVNgV-Ewc,1510
Quantitative Methods,Module 6: Machine Learning,Deep neural networks,https://youtu.be/6jasGb0TVsM,568
Quantitative Methods,Module 6: Machine Learning,Deep neural network-based equity factor model case study,https://youtu.be/M66QnIqxV-A,371
Quantitative Methods,Module 6: Machine Learning,Choosing an appropriate ML algorithm,https://youtu.be/XI3fIEkmNMk,621
